Id,split
36473,train
18726,train
1647,train
187500,train
45343,train
88920,train
131151,train
1134,train
22508,validation
69558,train
77694,train
74717,train
39436,train
197667,train
162346,train
29284,train
94381,train
198877,train
19305,train
41453,train
123625,train
134080,train
78718,train
58693,validation
160925,train
161553,train
155907,train
56221,train
172537,train
166580,train
58982,train
194127,train
79661,train
149768,train
153446,train
89969,train
136449,train
11860,train
105317,train
38691,validation
21096,train
3381,train
51041,train
74156,train
181790,train
3987,train
30305,train
157990,train
42098,train
276,train
98844,train
22050,train
173115,train
4897,validation
41801,train
3180,train
166165,train
113964,train
1763,train
98658,train
7394,train
155882,train
29386,train
6459,train
116917,train
102950,train
192684,train
106805,train
9378,train
137623,train
19948,validation
194198,train
129062,train
37661,train
135917,train
167487,validation
9286,train
153811,train
172285,train
114246,train
187959,train
139684,train
77600,train
178374,train
35429,train
119236,train
99702,train
20766,validation
70514,validation
111602,train
142201,train
173431,train
104189,train
78983,train
38935,train
49069,validation
80446,train
169679,validation
111816,train
67356,train
108176,train
34996,validation
4650,validation
181333,validation
57906,train
122560,train
107843,validation
164284,train
28451,train
22476,train
72583,train
18366,train
185089,train
48750,train
116676,validation
186000,validation
160229,train
171070,train
29013,train
127634,train
175763,train
199905,train
177207,train
121896,train
55170,validation
100992,train
101302,train
137365,validation
84794,validation
134136,train
199754,train
49025,train
148366,train
10709,train
125222,validation
167177,validation
32470,train
8643,train
71030,train
124543,train
176293,train
99388,train
116194,validation
1723,train
175110,train
117609,train
1475,train
157799,validation
140894,train
160615,validation
163125,train
109196,validation
79913,train
149296,train
156681,train
3453,train
93458,train
89311,train
50834,validation
30106,train
19261,train
13434,validation
41729,train
102044,train
66983,train
99922,train
161349,train
46810,train
185521,train
121453,train
133004,train
94063,train
12087,validation
99921,train
156526,train
67835,train
183181,train
94186,train
57107,train
37801,validation
178608,train
105026,train
113198,validation
21940,train
176744,train
11478,train
135290,validation
169792,train
99304,train
150860,train
183444,train
103885,train
130739,train
114142,train
17319,validation
70169,validation
25271,train
115981,train
185664,train
81621,train
84621,train
199647,train
138248,train
67970,train
190445,train
86327,train
184292,train
25822,train
25383,train
104707,train
67808,train
113709,train
3925,train
32404,train
171753,train
43338,train
76318,train
68611,train
114925,train
149569,validation
25641,train
4293,validation
127012,validation
105919,train
142450,train
40798,train
122009,validation
99707,train
105490,train
170352,train
601,train
98988,train
44383,train
124305,train
193569,train
160920,train
57537,train
115031,train
107199,train
174504,validation
98520,train
126383,train
153746,train
175665,train
65905,train
2241,train
100781,train
64106,train
23074,train
77256,train
191049,validation
116382,train
162632,train
116286,validation
190309,train
65096,train
75588,validation
95120,train
20244,train
139758,train
20260,train
141387,train
21546,train
31968,train
31800,train
109434,validation
94452,validation
178229,validation
7942,train
191114,train
22421,validation
96268,train
37216,train
120871,train
13920,validation
152435,train
8130,train
180684,validation
69101,validation
173823,train
141566,train
10418,train
33809,train
62002,train
187894,train
102816,train
165099,train
15946,train
19862,train
187404,train
12529,train
47154,train
110287,train
187406,train
198520,train
120111,validation
151537,train
159508,train
7689,train
87973,train
21475,validation
191498,train
124946,train
184457,train
46704,train
117352,train
5213,train
106558,train
15480,train
86467,train
129445,train
14751,train
139051,validation
94522,validation
105271,train
191876,train
118145,train
38754,train
188240,train
38179,train
171441,train
2029,train
32148,train
170834,validation
101094,train
153469,train
88949,train
168756,train
148660,validation
128279,train
78799,train
169084,train
19172,train
112507,train
1012,train
158116,train
19154,train
17434,train
66267,train
47315,train
105389,train
17068,train
8015,validation
154502,train
77565,train
5670,train
126347,train
86225,validation
185718,train
188712,train
99975,train
127996,validation
91248,train
98831,train
5956,train
187624,train
126594,train
149662,train
121416,train
61759,train
17640,train
93683,train
131726,validation
132259,train
