column,dtype,kind,missing_count,missing_pct,nonfinite_count,placeholder_count,unique_nonmissing
fullTimeEmployees,float64,numeric,0,0.0,0,0,99414
auditRisk,float64,numeric,0,0.0,0,0,71969
boardRisk,float64,numeric,0,0.0,0,0,72223
compensationRisk,float64,numeric,0,0.0,0,0,72215
shareHolderRightsRisk,float64,numeric,0,0.0,0,0,70640
overallRisk,float64,numeric,0,0.0,0,0,71181
floatShares,float64,numeric,0,0.0,0,0,99414
sharesOutstanding,float64,numeric,0,0.0,0,0,99414
trailingEps,float64,numeric,0,0.0,0,0,99411
forwardEps,float64,numeric,0,0.0,0,0,95038
targetHighPrice,float64,numeric,0,0.0,0,0,87487
targetLowPrice,float64,numeric,0,0.0,0,0,87547
targetMeanPrice,float64,numeric,0,0.0,0,0,87547
targetMedianPrice,float64,numeric,0,0.0,0,0,87548
recommendationMean,float64,numeric,0,0.0,0,0,82349
numberOfAnalystOpinions,float64,numeric,0,0.0,0,0,85493
totalCash,float64,numeric,0,0.0,0,0,99414
totalCashPerShare,float64,numeric,0,0.0,0,0,99412
ebitda,float64,numeric,0,0.0,0,0,99414
totalDebt,float64,numeric,0,0.0,0,0,99413
totalRevenue,float64,numeric,0,0.0,0,0,99414
revenuePerShare,float64,numeric,0,0.0,0,0,99412
freeCashflow,float64,numeric,0,0.0,0,0,99414
operatingCashflow,float64,numeric,0,0.0,0,0,99414
revenueGrowth,float64,numeric,0,0.0,0,0,99411
Q0_TOTAL_ASSETS,float64,target,0,0.0,0,0,99413
Q0_TOTAL_LIABILITIES,float64,target,0,0.0,0,0,100000
Q0_TOTAL_STOCKHOLDERS_EQUITY,float64,target,0,0.0,0,0,100000
Q0_GROSS_PROFIT,float64,target,0,0.0,0,0,100000
Q0_COST_OF_REVENUES,float64,target,0,0.0,0,0,100000
Q0_REVENUES,float64,target,0,0.0,0,0,100000
Q0_OPERATING_INCOME,float64,target,0,0.0,0,0,100000
Q0_OPERATING_EXPENSES,float64,target,0,0.0,0,0,99414
Q0_EBITDA,float64,target,0,0.0,0,0,100000
Q0_fiscal_year_end,float64,numeric,0,0.0,0,0,1203
Q1_TOTAL_ASSETS,float64,numeric,0,0.0,0,0,99414
Q1_TOTAL_CURRENT_ASSETS,float64,numeric,0,0.0,0,0,99414
Q1_TOTAL_NONCURRENT_ASSETS,float64,numeric,0,0.0,0,0,99412
Q1_TOTAL_LIABILITIES,float64,numeric,0,0.0,0,0,99413
Q1_TOTAL_CURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99414
Q1_TOTAL_NONCURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99414
Q1_TOTAL_LIABILITIES_AND_EQUITY,float64,numeric,0,0.0,0,0,99414
Q1_TOTAL_STOCKHOLDERS_EQUITY,float64,numeric,0,0.0,0,0,99414
Q1_NET_INCOME,float64,numeric,0,0.0,0,0,99412
Q1_GROSS_PROFIT,float64,numeric,0,0.0,0,0,99414
Q1_COST_OF_REVENUES,float64,numeric,0,0.0,0,0,99412
Q1_REVENUES,float64,numeric,0,0.0,0,0,99412
Q1_OPERATING_INCOME,float64,numeric,0,0.0,0,0,99414
Q1_OPERATING_EXPENSES,float64,numeric,0,0.0,0,0,99414
Q1_EBITDA,float64,numeric,0,0.0,0,0,99414
Q1_DEPRECIATION_AND_AMORTIZATION,float64,numeric,0,0.0,0,0,93034
Q1_fiscal_year_end,float64,numeric,0,0.0,0,0,705
Q2_TOTAL_ASSETS,float64,numeric,0,0.0,0,0,99414
Q2_TOTAL_CURRENT_ASSETS,float64,numeric,0,0.0,0,0,99414
Q2_TOTAL_NONCURRENT_ASSETS,float64,numeric,0,0.0,0,0,99414
Q2_TOTAL_LIABILITIES,float64,numeric,0,0.0,0,0,99412
Q2_TOTAL_CURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99413
Q2_TOTAL_NONCURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99414
Q2_TOTAL_LIABILITIES_AND_EQUITY,float64,numeric,0,0.0,0,0,99414
Q2_TOTAL_STOCKHOLDERS_EQUITY,float64,numeric,0,0.0,0,0,99414
Q2_NET_INCOME,float64,numeric,0,0.0,0,0,99413
Q2_GROSS_PROFIT,float64,numeric,0,0.0,0,0,99412
Q2_COST_OF_REVENUES,float64,numeric,0,0.0,0,0,99412
Q2_REVENUES,float64,numeric,0,0.0,0,0,99413
Q2_OPERATING_INCOME,float64,numeric,0,0.0,0,0,99412
Q2_OPERATING_EXPENSES,float64,numeric,0,0.0,0,0,99414
Q2_EBITDA,float64,numeric,0,0.0,0,0,99414
Q2_DEPRECIATION_AND_AMORTIZATION,float64,numeric,0,0.0,0,0,91434
Q2_fiscal_year_end,float64,numeric,0,0.0,0,0,1333
Q3_TOTAL_ASSETS,float64,numeric,0,0.0,0,0,99414
Q3_TOTAL_CURRENT_ASSETS,float64,numeric,0,0.0,0,0,99414
Q3_TOTAL_NONCURRENT_ASSETS,float64,numeric,0,0.0,0,0,99413
Q3_TOTAL_LIABILITIES,float64,numeric,0,0.0,0,0,99412
Q3_TOTAL_CURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99414
Q3_TOTAL_NONCURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99414
Q3_TOTAL_LIABILITIES_AND_EQUITY,float64,numeric,0,0.0,0,0,99414
Q3_TOTAL_STOCKHOLDERS_EQUITY,float64,numeric,0,0.0,0,0,99414
Q3_NET_INCOME,float64,numeric,0,0.0,0,0,99414
Q3_GROSS_PROFIT,float64,numeric,0,0.0,0,0,99414
Q3_COST_OF_REVENUES,float64,numeric,0,0.0,0,0,99414
Q3_REVENUES,float64,numeric,0,0.0,0,0,99412
Q3_OPERATING_INCOME,float64,numeric,0,0.0,0,0,99414
Q3_OPERATING_EXPENSES,float64,numeric,0,0.0,0,0,99414
Q3_EBITDA,float64,numeric,0,0.0,0,0,99413
Q3_DEPRECIATION_AND_AMORTIZATION,float64,numeric,0,0.0,0,0,94924
Q3_fiscal_year_end,float64,numeric,0,0.0,0,0,3568
Q4_TOTAL_ASSETS,float64,numeric,0,0.0,0,0,99414
Q4_TOTAL_CURRENT_ASSETS,float64,numeric,0,0.0,0,0,99413
Q4_TOTAL_NONCURRENT_ASSETS,float64,numeric,0,0.0,0,0,99414
Q4_TOTAL_LIABILITIES,float64,numeric,0,0.0,0,0,99414
Q4_TOTAL_CURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99414
Q4_TOTAL_NONCURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99412
Q4_TOTAL_LIABILITIES_AND_EQUITY,float64,numeric,0,0.0,0,0,99414
Q4_TOTAL_STOCKHOLDERS_EQUITY,float64,numeric,0,0.0,0,0,99414
Q4_NET_INCOME,float64,numeric,0,0.0,0,0,99412
Q4_GROSS_PROFIT,float64,numeric,0,0.0,0,0,99414
Q4_COST_OF_REVENUES,float64,numeric,0,0.0,0,0,99414
Q4_REVENUES,float64,numeric,0,0.0,0,0,99414
Q4_OPERATING_INCOME,float64,numeric,0,0.0,0,0,99412
Q4_OPERATING_EXPENSES,float64,numeric,0,0.0,0,0,99412
Q4_EBITDA,float64,numeric,0,0.0,0,0,99414
Q4_DEPRECIATION_AND_AMORTIZATION,float64,numeric,0,0.0,0,0,93377
Q4_fiscal_year_end,float64,numeric,0,0.0,0,0,368
Q5_TOTAL_ASSETS,float64,numeric,0,0.0,0,0,99414
Q5_TOTAL_CURRENT_ASSETS,float64,numeric,0,0.0,0,0,99414
Q5_TOTAL_NONCURRENT_ASSETS,float64,numeric,0,0.0,0,0,99413
Q5_TOTAL_LIABILITIES,float64,numeric,0,0.0,0,0,99414
Q5_TOTAL_CURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99414
Q5_TOTAL_NONCURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99412
Q5_TOTAL_LIABILITIES_AND_EQUITY,float64,numeric,0,0.0,0,0,99414
Q5_TOTAL_STOCKHOLDERS_EQUITY,float64,numeric,0,0.0,0,0,99414
Q5_NET_INCOME,float64,numeric,0,0.0,0,0,99413
Q5_GROSS_PROFIT,float64,numeric,0,0.0,0,0,99412
Q5_COST_OF_REVENUES,float64,numeric,0,0.0,0,0,99412
Q5_REVENUES,float64,numeric,0,0.0,0,0,99412
Q5_OPERATING_INCOME,float64,numeric,0,0.0,0,0,99413
Q5_OPERATING_EXPENSES,float64,numeric,0,0.0,0,0,99414
Q5_EBITDA,float64,numeric,0,0.0,0,0,99412
Q5_DEPRECIATION_AND_AMORTIZATION,float64,numeric,0,0.0,0,0,92272
Q5_fiscal_year_end,float64,numeric,0,0.0,0,0,125
Q6_TOTAL_ASSETS,float64,numeric,0,0.0,0,0,99414
Q6_TOTAL_CURRENT_ASSETS,float64,numeric,0,0.0,0,0,99413
Q6_TOTAL_NONCURRENT_ASSETS,float64,numeric,0,0.0,0,0,99414
Q6_TOTAL_LIABILITIES,float64,numeric,0,0.0,0,0,99414
