target,derived_formula,direct_weight,smape_percent
Q0_COST_OF_REVENUES,direct,1.0,18.05066334952094
Q0_COST_OF_REVENUES,revenues_minus_gross_profit,1.0,18.05066334952094
Q0_COST_OF_REVENUES,revenues_minus_gross_profit,0.75,20.806448675668484
Q0_COST_OF_REVENUES,revenues_minus_gross_profit,0.5,23.90570334898021
Q0_COST_OF_REVENUES,revenues_minus_gross_profit,0.25,26.87325959110372
Q0_COST_OF_REVENUES,revenues_minus_gross_profit,0.0,29.51090878312348
Q0_EBITDA,direct,1.0,50.35651413686492
Q0_GROSS_PROFIT,direct,1.0,23.144757854467265
Q0_GROSS_PROFIT,revenues_minus_cost,1.0,23.144757854467265
Q0_GROSS_PROFIT,operating_income_plus_expenses,1.0,23.144757854467265
Q0_GROSS_PROFIT,revenues_minus_cost,0.75,24.814960041100832
Q0_GROSS_PROFIT,operating_income_plus_expenses,0.75,25.030771442102424
Q0_GROSS_PROFIT,revenues_minus_cost,0.5,27.015075132789
Q0_GROSS_PROFIT,operating_income_plus_expenses,0.5,27.920786599022257
Q0_GROSS_PROFIT,revenues_minus_cost,0.25,29.35846941705608
Q0_GROSS_PROFIT,operating_income_plus_expenses,0.25,31.16675754952257
Q0_GROSS_PROFIT,revenues_minus_cost,0.0,31.91333891428705
Q0_GROSS_PROFIT,operating_income_plus_expenses,0.0,34.55977936971365
Q0_OPERATING_EXPENSES,gross_profit_minus_operating_income,0.25,11.044586353071757
Q0_OPERATING_EXPENSES,gross_profit_minus_operating_income,0.5,11.137478926124352
Q0_OPERATING_EXPENSES,gross_profit_minus_operating_income,0.0,11.41522654859661
Q0_OPERATING_EXPENSES,gross_profit_minus_operating_income,0.75,11.589388414449365
Q0_OPERATING_EXPENSES,direct,1.0,12.493592507048819
Q0_OPERATING_EXPENSES,gross_profit_minus_operating_income,1.0,12.493592507048819
Q0_OPERATING_INCOME,gross_profit_minus_expenses,0.5,50.59023019498012
Q0_OPERATING_INCOME,gross_profit_minus_expenses,0.75,50.721682856555304
Q0_OPERATING_INCOME,gross_profit_minus_expenses,0.25,51.16947380506874
Q0_OPERATING_INCOME,direct,1.0,51.84160717687122
Q0_OPERATING_INCOME,gross_profit_minus_expenses,1.0,51.84160717687122
Q0_OPERATING_INCOME,gross_profit_minus_expenses,0.0,52.340454589705644
Q0_REVENUES,gross_profit_plus_cost,0.0,13.805032439010686
Q0_REVENUES,gross_profit_plus_cost,0.25,14.341170141683381
Q0_REVENUES,gross_profit_plus_cost,0.5,15.280286305625697
Q0_REVENUES,gross_profit_plus_cost,0.75,16.37647677822753
Q0_REVENUES,direct,1.0,17.669817052560465
Q0_REVENUES,gross_profit_plus_cost,1.0,17.669817052560465
Q0_TOTAL_ASSETS,direct,1.0,4.334836068512795
Q0_TOTAL_ASSETS,liabilities_plus_equity,1.0,4.334836068512795
Q0_TOTAL_ASSETS,liabilities_plus_equity,0.75,4.40753880807769
Q0_TOTAL_ASSETS,liabilities_plus_equity,0.5,4.531293730468923
Q0_TOTAL_ASSETS,liabilities_plus_equity,0.25,4.688842698289379
Q0_TOTAL_ASSETS,liabilities_plus_equity,0.0,4.873518619741039
Q0_TOTAL_LIABILITIES,assets_minus_equity,0.5,9.656089671134326
Q0_TOTAL_LIABILITIES,assets_minus_equity,0.75,9.692655089633794
Q0_TOTAL_LIABILITIES,assets_minus_equity,0.25,9.71512248300595
Q0_TOTAL_LIABILITIES,direct,1.0,9.822598267621562
Q0_TOTAL_LIABILITIES,assets_minus_equity,1.0,9.822598267621562
Q0_TOTAL_LIABILITIES,assets_minus_equity,0.0,9.903894567268598
Q0_TOTAL_STOCKHOLDERS_EQUITY,assets_minus_liabilities,0.0,10.27561757680373
Q0_TOTAL_STOCKHOLDERS_EQUITY,assets_minus_liabilities,0.25,10.29197622130073
Q0_TOTAL_STOCKHOLDERS_EQUITY,assets_minus_liabilities,0.5,10.312187992005216
Q0_TOTAL_STOCKHOLDERS_EQUITY,assets_minus_liabilities,0.75,10.344113196392483
Q0_TOTAL_STOCKHOLDERS_EQUITY,direct,1.0,10.438126002825102
Q0_TOTAL_STOCKHOLDERS_EQUITY,assets_minus_liabilities,1.0,10.438126002825102
