target,method,fold,smape_percent
Q0_EBITDA,direct_arcsinh,1,50.547931853485565
Q0_EBITDA,direct_arcsinh,2,51.22324037724225
Q0_EBITDA,direct_arcsinh,3,50.560275426437286
Q0_EBITDA,direct_arcsinh,4,50.06645239212983
Q0_EBITDA,direct_arcsinh,5,49.37931879916568
Q0_EBITDA,margin,1,50.33215671556227
Q0_EBITDA,margin,2,50.78880938828535
Q0_EBITDA,margin,3,50.44433979737085
Q0_EBITDA,margin,4,49.54577310528904
Q0_EBITDA,margin,5,49.516237243921914
Q0_EBITDA,sign_magnitude,1,43.02605307503272
Q0_EBITDA,sign_magnitude,2,43.62175803017052
Q0_EBITDA,sign_magnitude,3,43.28922925140798
Q0_EBITDA,sign_magnitude,4,42.62386820311968
Q0_EBITDA,sign_magnitude,5,41.99159601819445
Q0_EBITDA,residual,1,48.66630133062638
Q0_EBITDA,residual,2,49.37319274639598
Q0_EBITDA,residual,3,49.08261181101457
Q0_EBITDA,residual,4,48.45251721018396
Q0_EBITDA,residual,5,47.62895346766427
