target,method,fold,smape_percent
Q0_OPERATING_INCOME,direct_arcsinh,1,51.98767848423868
Q0_OPERATING_INCOME,direct_arcsinh,2,52.5900414130366
Q0_OPERATING_INCOME,direct_arcsinh,3,51.91042072509222
Q0_OPERATING_INCOME,direct_arcsinh,4,51.59701610209866
Q0_OPERATING_INCOME,direct_arcsinh,5,50.80699684033762
Q0_OPERATING_INCOME,margin,1,50.95473028345741
Q0_OPERATING_INCOME,margin,2,51.48158665491091
Q0_OPERATING_INCOME,margin,3,51.50523682381433
Q0_OPERATING_INCOME,margin,4,50.563524954312115
Q0_OPERATING_INCOME,margin,5,50.709432350161286
Q0_OPERATING_INCOME,sign_magnitude,1,43.96127767102289
Q0_OPERATING_INCOME,sign_magnitude,2,44.321814778302574
Q0_OPERATING_INCOME,sign_magnitude,3,43.733816833218235
Q0_OPERATING_INCOME,sign_magnitude,4,43.45114352607041
Q0_OPERATING_INCOME,sign_magnitude,5,43.48251215685514
